,graph_density,graph_diameter,clustering_coeff,spectral_gap,assortativity,cliques,min_degree,max_degree,components,B0,B1,B2,motif3,motif4
graph_density,1.0,-0.5621122573255253,0.6320706532977173,0.24830642599678474,0.12674835303705756,0.4595863412102272,-0.05954075225848253,0.5261727235688263,0.1690897860437778,-0.4497267340074786,-0.17745995034441903,-0.3072612055377006,-0.20440202897914703,0.1161092382876644
graph_diameter,-0.5621122573255253,1.0,-0.23495165858167016,-0.28485931160547184,-0.03919742159163553,-0.1441700259168129,-0.07230574201292905,-0.1882401452677124,-0.021752215308960557,0.6738481819408638,0.29651691058057644,0.39859159356612234,0.3675095794093928,0.09282248513458294
clustering_coeff,0.6320706532977173,-0.23495165858167016,1.0,0.26024354753861256,0.3879660528080925,0.9204418023100969,0.013106414191683487,0.9446505794288722,0.6559987630808208,-0.10832086789630965,0.0009843591922597647,-0.30466024572354733,0.13009211164347304,0.6351018005428607
spectral_gap,0.24830642599678474,-0.28485931160547184,0.26024354753861256,1.0,0.2871665386726357,0.30686418643223345,-0.03431657569688546,0.25219466650573485,0.39224933149043656,-0.12065770274839767,0.11428165989429037,-0.07399831091628213,0.08281685563069163,0.1730148464012284
assortativity,0.12674835303705756,-0.03919742159163553,0.3879660528080925,0.2871665386726357,1.0,0.4961476388304547,-0.00019499106225927986,0.43401243350385477,0.35737505879418,0.05490693863674335,0.27971318718546934,0.04499861049281148,0.2549560560844704,0.42780426559674817
cliques,0.4595863412102272,-0.1441700259168129,0.9204418023100969,0.30686418643223345,0.4961476388304547,1.0,0.003938670119123977,0.901498218103299,0.7950887787515324,0.04472935598903732,0.21408954386811563,-0.2054970448873283,0.3216071013075523,0.7217568728287467
min_degree,-0.05954075225848253,-0.07230574201292905,0.013106414191683487,-0.03431657569688546,-0.00019499106225927986,0.003938670119123977,1.0,0.012262682634188317,0.0008533685014309395,0.13794973417152218,0.013368228302453647,-0.003618742667005851,0.10037475660493772,0.2013238275568505
max_degree,0.5261727235688263,-0.1882401452677124,0.9446505794288722,0.25219466650573485,0.43401243350385477,0.901498218103299,0.012262682634188317,1.0,0.6769680574094992,-0.08218851531904026,0.044070767295804954,-0.30002842854975403,0.17195145952397164,0.6707294748672695
components,0.1690897860437778,-0.021752215308960557,0.6559987630808208,0.39224933149043656,0.35737505879418,0.7950887787515324,0.0008533685014309395,0.6769680574094992,1.0,0.3124456991304864,0.4617159297272725,0.008198759684939948,0.5795262346155398,0.6936299075450388
B0,-0.4497267340074786,0.6738481819408638,-0.10832086789630965,-0.12065770274839767,0.05490693863674335,0.04472935598903732,0.13794973417152218,-0.08218851531904026,0.3124456991304864,1.0,0.7384360834043391,0.6830588343732683,0.852318340529666,0.41360944163329794
B1,-0.17745995034441903,0.29651691058057644,0.0009843591922597647,0.11428165989429037,0.27971318718546934,0.21408954386811563,0.013368228302453647,0.044070767295804954,0.4617159297272725,0.7384360834043391,1.0,0.6992511978330296,0.9102961109402189,0.38762082456814867
B2,-0.3072612055377006,0.39859159356612234,-0.30466024572354733,-0.07399831091628213,0.04499861049281148,-0.2054970448873283,-0.003618742667005851,-0.30002842854975403,0.008198759684939948,0.6830588343732683,0.6992511978330296,1.0,0.5854413190920709,-0.02793302088412857
motif3,-0.20440202897914703,0.3675095794093928,0.13009211164347304,0.08281685563069163,0.2549560560844704,0.3216071013075523,0.10037475660493772,0.17195145952397164,0.5795262346155398,0.852318340529666,0.9102961109402189,0.5854413190920709,1.0,0.6444481023409088
motif4,0.1161092382876644,0.09282248513458294,0.6351018005428607,0.1730148464012284,0.42780426559674817,0.7217568728287467,0.2013238275568505,0.6707294748672695,0.6936299075450388,0.41360944163329794,0.38762082456814867,-0.02793302088412857,0.6444481023409088,1.0
